geocodigo;nome_mun;sigla_uf;nm_regiao;populacao;porte
1100015;Alta Floresta D'Oeste;RO;Norte;22787;4
1100023;Ariquemes;RO;Norte;109170;6
1100031;Cabixi;RO;Norte;5664;2
1100049;Cacoal;RO;Norte;98280;5
1100056;Cerejeiras;RO;Norte;16966;3
1100064;Colorado do Oeste;RO;Norte;16508;3
1100072;Corumbiara;RO;Norte;7968;2
1100080;Costa Marques;RO;Norte;13510;3
1100098;Espigão D'Oeste;RO;Norte;32842;4
1100106;Guajará-Mirim;RO;Norte;43594;4
1100114;Jaru;RO;Norte;55682;5
1100122;Ji-Paraná;RO;Norte;140101;6
1100130;Machadinho D'Oeste;RO;Norte;34149;4
1100148;Nova Brasilândia D'Oeste;RO;Norte;16374;3
1100155;Ouro Preto do Oeste;RO;Norte;38684;4
1100189;Pimenta Bueno;RO;Norte;39220;4
1100205;Porto Velho;RO;Norte;517709;7
1100254;Presidente Médici;RO;Norte;20443;4
1100262;Rio Crespo;RO;Norte;3767;1
1100288;Rolim de Moura;RO;Norte;62959;5
1100296;Santa Luzia D'Oeste;RO;Norte;7837;2
1100304;Vilhena;RO;Norte;109651;6
1100320;São Miguel do Guaporé;RO;Norte;22305;4
1100338;Nova Mamoré;RO;Norte;28701;4
1100346;Alvorada D'Oeste;RO;Norte;13720;3
1100379;Alto Alegre dos Parecis;RO;Norte;12237;3
1100403;Alto Paraíso;RO;Norte;17467;3
1100452;Buritis;RO;Norte;30649;4
1100502;Novo Horizonte do Oeste;RO;Norte;7972;2
1100601;Cacaulândia;RO;Norte;4292;1
1100700;Campo Novo de Rondônia;RO;Norte;9095;2
1100809;Candeias do Jamari;RO;Norte;24313;4
1100908;Castanheiras;RO;Norte;3450;1
1100924;Chupinguaia;RO;Norte;10191;3
1100940;Cujubim;RO;Norte;15877;3
1101005;Governador Jorge Teixeira;RO;Norte;8340;2
1101104;Itapuã do Oeste;RO;Norte;9228;2
1101203;Ministro Andreazza;RO;Norte;6519;2
1101302;Mirante da Serra;RO;Norte;9657;2
1101401;Monte Negro;RO;Norte;12168;3
1101435;Nova União;RO;Norte;6541;2
1101450;Parecis;RO;Norte;4372;1
1101468;Pimenteiras do Oeste;RO;Norte;2309;1
1101476;Primavera de Rondônia;RO;Norte;3268;1
1101484;São Felipe D'Oeste;RO;Norte;5588;2
1101492;São Francisco do Guaporé;RO;Norte;17557;3
1101500;Seringueiras;RO;Norte;12965;3
1101559;Teixeirópolis;RO;Norte;4521;1
1101609;Theobroma;RO;Norte;8459;2
1101708;Urupá;RO;Norte;11314;3
1101757;Vale do Anari;RO;Norte;8220;2
1101807;Vale do Paraíso;RO;Norte;6790;2
1200013;Acrelândia;AC;Norte;14712;3
1200054;Assis Brasil;AC;Norte;8648;2
1200104;Brasiléia;AC;Norte;28028;4
1200138;Bujari;AC;Norte;13928;3
1200179;Capixaba;AC;Norte;10981;3
1200203;Cruzeiro do Sul;AC;Norte;98916;5
