"geocodigo","nome_mun","nm_regiao","sigla_rg","populacao"
1100015,"Alta Floresta D'Oeste","Norte","N",22787
1100023,"Ariquemes","Norte","N",109170
1100031,"Cabixi","Norte","N",5664
1100049,"Cacoal","Norte","N",98280
1100056,"Cerejeiras","Norte","N",16966
1100064,"Colorado do Oeste","Norte","N",16508
1100072,"Corumbiara","Norte","N",7968
1100080,"Costa Marques","Norte","N",13510
1100098,"Espigão D'Oeste","Norte","N",32842
1100106,"Guajará-Mirim","Norte","N",43594
1100114,"Jaru","Norte","N",55682
1100122,"Ji-Paraná","Norte","N",140101
1100130,"Machadinho D'Oeste","Norte","N",34149
1100148,"Nova Brasilândia D'Oeste","Norte","N",16374
1100155,"Ouro Preto do Oeste","Norte","N",38684
1100189,"Pimenta Bueno","Norte","N",39220
1100205,"Porto Velho","Norte","N",517709
1100254,"Presidente Médici","Norte","N",20443
1100262,"Rio Crespo","Norte","N",3767
1100288,"Rolim de Moura","Norte","N",62959
1100296,"Santa Luzia D'Oeste","Norte","N",7837
1100304,"Vilhena","Norte","N",109651
1100320,"São Miguel do Guaporé","Norte","N",22305
1100338,"Nova Mamoré","Norte","N",28701
1100346,"Alvorada D'Oeste","Norte","N",13720
1100379,"Alto Alegre dos Parecis","Norte","N",12237
1100403,"Alto Paraíso","Norte","N",17467
1100452,"Buritis","Norte","N",30649
1100502,"Novo Horizonte do Oeste","Norte","N",7972
1100601,"Cacaulândia","Norte","N",4292
1100700,"Campo Novo de Rondônia","Norte","N",9095
1100809,"Candeias do Jamari","Norte","N",24313
1100908,"Castanheiras","Norte","N",3450
1100924,"Chupinguaia","Norte","N",10191
1100940,"Cujubim","Norte","N",15877
1101005,"Governador Jorge Teixeira","Norte","N",8340
1101104,"Itapuã do Oeste","Norte","N",9228
1101203,"Ministro Andreazza","Norte","N",6519
1101302,"Mirante da Serra","Norte","N",9657
1101401,"Monte Negro","Norte","N",12168
1101435,"Nova União","Norte","N",6541
1101450,"Parecis","Norte","N",4372
1101468,"Pimenteiras do Oeste","Norte","N",2309
1101476,"Primavera de Rondônia","Norte","N",3268
1101484,"São Felipe D'Oeste","Norte","N",5588
1101492,"São Francisco do Guaporé","Norte","N",17557
1101500,"Seringueiras","Norte","N",12965
1101559,"Teixeirópolis","Norte","N",4521
1101609,"Theobroma","Norte","N",8459
1101708,"Urupá","Norte","N",11314
1101757,"Vale do Anari","Norte","N",8220
1101807,"Vale do Paraíso","Norte","N",6790
1200013,"Acrelândia","Norte","N",14712
1200054,"Assis Brasil","Norte","N",8648
1200104,"Brasiléia","Norte","N",28028
1200138,"Bujari","Norte","N",13928
1200179,"Capixaba","Norte","N",10981
1200203,"Cruzeiro do Sul","Norte","N",98916
1200252,"Epitaciolândia","Norte","N",19874
1200302,"Feijó","Norte","N",37764
1200328,"Jordão","Norte","N",9884
1200336,"Mâncio Lima","Norte","N",20479
1200344,"Manoel Urbano","Norte","N",12923
1200351,"Marechal Thaumaturgo","Norte","N",18057
1200385,"Plácido de Castro","Norte","N",17107
1200393,"Porto Walter","Norte","N",11333
1200401,"Rio Branco","Norte","N",389001
1200427,"Rodrigues Alves","Norte","N",15560
1200435,"Santa Rosa do Purus","Norte","N",7217
1200450,"Senador Guiomard","Norte","N",22402
1200500,"Sena Madureira","Norte","N",44049
1200609,"Tarauacá","Norte","N",46816
1200708,"Xapuri","Norte","N",19170
1200807,"Porto Acre","Norte","N",17523
1300029,"Alvarães","Norte","N",16806
1300060,"Amaturá","Norte","N",11533
1300086,"Anamã","Norte","N",9981
1300102,"Anori","Norte","N",18056
1300144,"Apuí","Norte","N",21781
1300201,"Atalaia do Norte","Norte","N",15889
1300300,"Autazes","Norte","N",45960
1300409,"Barcelos","Norte","N",18210
1300508,"Barreirinha","Norte","N",33722
1300607,"Benjamin Constant","Norte","N",40908
1300631,"Beruri","Norte","N",22495
1300680,"Boa Vista do Ramos","Norte","N",26479
1300706,"Boca do Acre","Norte","N",38792
1300805,"Borba","Norte","N",34869
1300839,"Caapiranga","Norte","N",14806
1300904,"Canutama","Norte","N",18109
1301001,"Carauari","Norte","N",31130
1301100,"Careiro","Norte","N",32336
1301159,"Careiro da Várzea","Norte","N",20324
1301209,"Coari","Norte","N",73576
1301308,"Codajás","Norte","N",24572
1301407,"Eirunepé","Norte","N",35793
1301506,"Envira","Norte","N",17985
1301605,"Fonte Boa","Norte","N",28227
1301654,"Guajará","Norte","N",14344
1301704,"Humaitá","Norte","N",63454
1301803,"Ipixuna","Norte","N",25629
1301852,"Iranduba","Norte","N",68862
1301902,"Itacoatiara","Norte","N",113917
1301951,"Itamarati","Norte","N",11956
1302009,"Itapiranga","Norte","N",10955
1302108,"Japurá","Norte","N",9420
1302207,"Juruá","Norte","N",11093
1302306,"Jutaí","Norte","N",28202
1302405,"Lábrea","Norte","N",49469
1302504,"Manacapuru","Norte","N",111751
1302553,"Manaquiri","Norte","N",16211
1302603,"Manaus","Norte","N",2303732
1302702,"Manicoré","Norte","N",58018
1302801,"Maraã","Norte","N",15815
1302900,"Maués","Norte","N",66336
1303007,"Nhamundá","Norte","N",21251
1303106,"Nova Olinda do Norte","Norte","N",28123
1303205,"Novo Airão","Norte","N",16562
1303304,"Novo Aripuanã","Norte","N",25325
1303403,"Parintins","Norte","N",101855
1303502,"Pauini","Norte","N",20229
1303536,"Presidente Figueiredo","Norte","N",33291
1303569,"Rio Preto da Eva","Norte","N",25364
1303601,"Santa Isabel do Rio Negro","Norte","N",13947
1303700,"Santo Antônio do Içá","Norte","N",30679
1303809,"São Gabriel da Cachoeira","Norte","N",57396
1303908,"São Paulo de Olivença","Norte","N",35442
1303957,"São Sebastião do Uatumã","Norte","N",12338
1304005,"Silves","Norte","N",12619
1304062,"Tabatinga","Norte","N",73348
1304104,"Tapauá","Norte","N",20728
1304203,"Tefé","Norte","N",80137
1304237,"Tonantins","Norte","N",20257
1304260,"Uarini","Norte","N",15640
1304302,"Urucará","Norte","N",19617
1304401,"Urucurituba","Norte","N",25965
1400027,"Amajari","Norte","N",16112
1400050,"Alto Alegre","Norte","N",23589
1400100,"Boa Vista","Norte","N",485477
1400159,"Bonfim","Norte","N",15570
1400175,"Cantá","Norte","N",21102
1400209,"Caracaraí","Norte","N",22750
1400233,"Caroebe","Norte","N",12004
1400282,"Iracema","Norte","N",10937
1400308,"Mucajaí","Norte","N",20006
1400407,"Normandia","Norte","N",16323
1400456,"Pacaraima","Norte","N",23112
1400472,"Rorainópolis","Norte","N",37787
1400506,"São João da Baliza","Norte","N",9969
1400605,"São Luiz","Norte","N",7848
1400704,"Uiramutã","Norte","N",16186
1500107,"Abaetetuba","Norte","N",172344
1500131,"Abel Figueiredo","Norte","N",6275
1500206,"Acará","Norte","N",63110
1500305,"Afuá","Norte","N",40473
1500347,"Água Azul do Norte","Norte","N",17596
1500404,"Alenquer","Norte","N",75882
1500503,"Almeirim","Norte","N",36442
1500602,"Altamira","Norte","N",138749
1500701,"Anajás","Norte","N",30247
1500800,"Ananindeua","Norte","N",509227
1500859,"Anapu","Norte","N",35638
1500909,"Augusto Corrêa","Norte","N",47912
1500958,"Aurora do Pará","Norte","N",24193
1501006,"Aveiro","Norte","N",19380
1501105,"Bagre","Norte","N",35147
1501204,"Baião","Norte","N",56850
1501253,"Bannach","Norte","N",4290
1501303,"Barcarena","Norte","N",139076
1501402,"Belém","Norte","N",1397315
1501451,"Belterra","Norte","N",19075
1501501,"Benevides","Norte","N",68962
1501576,"Bom Jesus do Tocantins","Norte","N",19129
1501600,"Bonito","Norte","N",12961
1501709,"Bragança","Norte","N",132489
1501725,"Brasil Novo","Norte","N",27130
1501758,"Brejo Grande do Araguaia","Norte","N",6966
1501782,"Breu Branco","Norte","N",47066
1501808,"Breves","Norte","N",116058
1501907,"Bujaru","Norte","N",25065
1501956,"Cachoeira do Piriá","Norte","N",19223
1502004,"Cachoeira do Arari","Norte","N",25467
1502103,"Cametá","Norte","N",144859
1502152,"Canaã dos Carajás","Norte","N",89524
1502202,"Capanema","Norte","N",75309
1502301,"Capitão Poço","Norte","N",60318
1502400,"Castanhal","Norte","N",209126
